,name,price,review_count,rating,barrio,address
300,Rifka,,1,4.0,Palermo,"Bonpland 1367, 1414 Buenos Aires, Argentina"
301,Kansas Grill & Bar,$$$,103,4.0,Palermo,"Av. del Libertador 4625, 1426 Buenos Aires, Argentina"
302,Bartola Corner,$$,44,3.0,Palermo,"Gurruchaga 1795, 1414 Buenos Aires, Argentina"
303,El Figón de Bonilla,,1,3.0,San Nicolas,"Av. Leandro Alem 673, C1001AAB Buenos Aires, Argentina"
305,La Argentina,$$,13,4.0,Palermo,"Cabildo 1191, 1426 Buenos Aires, Argentina"
306,Manuela Malasaña,$$,17,3.5,Palermo,"Costa Rica 4818, 1414 Buenos Aires, Argentina"
307,Crepas,$$,55,3.5,Palermo,"Gurruchaga 1791, Buenos Aires, Argentina"
308,Marcel,$,2,4.0,Balvanera,"Venezuela 2763, C1211 Buenos Aires, Argentina"
309,Blondies,$$,16,3.0,,"Colón 242, 1878 Buenos Aires, Argentina"
310,Nucha,$$$,9,3.0,Palermo,"Av. Cerviño 4417, Buenos Aires, Argentina"
311,Dolce Herencia,$$,0,0.0,Villa Pueyrredon,"Gral. José Gervasio Artigas 5401, C1419 Buenos Aires, Argentina"
312,Crisol,,0,0.0,Palermo,"Gral. Lucio Norberto Mansilla 3799, C1425 Buenos Aires, Argentina"
313,Kotroko’s,,2,3.0,Palermo,"Av. Rafael Obligado Costanera S/N, 1426 Buenos Aires, Argentina"
314,Ammo,$$,2,2.5,Nuñez,"Montañeses 2999, Buenos Aires, Argentina"
315,Blend House,,0,0.0,Belgrano,"Mariscal Antonio José de Sucre 2082, C1428DVJ Buenos Aires, Argentina"
316,Del Bosco Cafe,$,0,0.0,Recoleta,"Av. Santa Fe 2653, C1425BGB Buenos Aires, Argentina"
317,El Aleph,$$,8,3.5,Palermo,"Borges 2145 - Palermo, C1425FFC Buenos Aires, Argentina"
318,Ninina,$$,1,3.0,Villa Urquiza,"Holmberg 2464, C1430 Villa Urquiza, Argentina"
319,Crisol,$$,1,4.0,Recoleta,"Av. Pueyrredón 2401, C1119ACH Buenos Aires, Argentina"
320,La Esperanza,$$,15,2.5,Belgrano,"Sucre 1302, 1428 Buenos Aires, Argentina"
321,Miro Cafetín,,2,4.0,Recoleta,"Av. Pueyrredón 1841, C1119 Recoleta, Argentina"
322,Petit Plaisir,$$,5,4.0,,"Rosetti 6273, Ciudad Jardín Lomas de Palomar, Argentina"
323,T-Bone,$$,19,4.5,Palermo,"Armenia 2471, C1425FBI Buenos Aires, Argentina"
324,i Central Market,$$,32,3.5,Puerto Madero,"Macacha Guemes 300, Buenos Aires, Argentina"
325,BA Green,$$,22,3.0,,"HIpólito Yrigoyen 501, B1638 Vicente López, Argentina"
326,Abuela Goye,$$,3,3.5,San Nicolas,"Avenida Presidente Roque Sáenz Peña 616, C1035 Buenos Aires, Argentina"
327,London City,$$,40,4.5,Monserrat,"Av. de Mayo 599, 1084 Buenos Aires, Argentina"
328,Sociedad del Café,$$,0,0.0,Recoleta,"Antonio Beruti 2598, C1425 Buenos Aires, Argentina"
329,Cafe Antaño,,2,3.5,Belgrano,"Vuelta de Obligado 1100, 1426 Buenos Aires, Argentina"
330,Le Blé,$$,13,3.0,Recoleta,"Marcelo T. de Alvear  2199, C1122AAG Buenos Aires, Argentina"
331,Bedford Station,$$,14,3.0,Palermo,"República Arabe Siria 3041, C1425 Buenos Aires, Argentina"
332,Pablos Resto Bar,$$$,9,3.5,Villa Devoto,"Nueva York 4094, C1419HDR Buenos Aires, Argentina"
333,Angélica,,1,2.0,Palermo,"Av. Rafael Obligado 1221, 1425 Buenos Aires, Argentina"
334,Restaurant Jolie Bistro Moderno,$$$,3,3.0,Palermo,"Gorriti 5641, C1414BKE Buenos Aires, Argentina"
335,Le Blé,$$,23,3.0,Chacarita,"Av. Alvarez Thomas 899, 1427 Buenos Aires, Argentina"
336,Oum´s Cafe & Deli,$$,5,3.5,Palermo,"Armenia 1595, Buenos Aires, Argentina"
337,Museo Evita Restaurant,$$$,32,3.5,Palermo,"Juan María Gutiérrez 3926, C1425FAB Buenos Aires, Argentina"
338,Maru Botana,$$,16,3.5,Belgrano,"11 de Septiembre 1772, 1426 Buenos Aires, Argentina"
339,Caffé del Doge,$$,4,4.0,Palermo,"Av. Federico Lacroze 1660, C1426 Buenos Aires, Argentina"
340,Casa Munay,$$,11,4.5,Palermo,"Av. Raúl Scalabrini Ortiz 2018, C1425 Buenos Aires, Argentina"
